id,hidden,name,alternateName,code,sku,price,priceType,defaultTaxRates,unitName,cost,isRevenue,stockCount,modifiedTime,priceWithoutVat
8AM62Y8F4XY0P,false,Flying Dog The Truth Imperial IPA 12 Pack Bottles,,,,2349,FIXED,true,,1672,true,0,1545102053000,
A9XEKVKYV6FKE,false,Heaven Hill 27 Years Barrel Proof Bourbon 750mL,,,096749001897,109999,FIXED,true,,30150,true,0,1545146578000,0
SFTKR9C7A31ZA,false,Patron Estate Release Blanco Tequila 750mL,,,721733003754,11999,FIXED,true,,7500,true,0,1545101912000,0
YVXSDHBNP67NA,false,Everfresh Kiwi Strawberry 24oz Bottle,,,076737340726,299,FIXED,false,,109,true,0,1545009531000,
NJBXE0EEVM0SM,false,Jayson By Pahlmeyer Sauvignon Blanc 750mL,,,857407002256,3999,FIXED,true,,2400,true,0,1565142486000,
BA2C6RTRARF8P,false,Orphan Barrel Rhetoric 25 Year Old Bourbon 750mL,,,082000790372,18999,FIXED,true,,12000,true,0,1546834798000,
293NDHDW1HJ56,false,Johnnie Walker Blender's Batch Wine Cask 750mL,,,088076181595,2199,FIXED,true,,1200,true,0,1544847299000,
XKDZE51ZEZ8TJ,false,Crown Royal  XO 375mL,,,08247308,1899,FIXED,true,,750,true,0,1544846946000,
7TGCSA0SDFBPR,false,Smirnoff Vanilla 1L,,,082000004028,1799,FIXED,true,,1200,true,0,1557091539000,
G2X6AA6JYYEBE,false,Homare Kirin Tokubetsu Honjozo 720mL,,4937891310023,072546039479,2799,FIXED,true,,1512,true,0,1556240903000,0
WTN5MWVBS5QWT,false,Kikusui No Karakuchi Honjozo 720mL,,,072546054106,2999,FIXED,true,,1613,true,0,1544835340000,
3SB06Y4KXBYS0,false,Kikusui JG Hiyaoroshi 720mL,,,072546039530,2799,FIXED,true,,1500,true,0,1561250883000,
HXFJ8QSK1392J,false,iichika Frasco Shochu 750mL,,,893041000043,9999,FIXED,true,,5989,true,0,1544834817000,
PE7WBBZ4CTQ1M,false,Tenshi No Yuwaku Imo Shochu 750mL,,4934317002173,072546090401,13999,FIXED,true,,7916,true,0,1544834677000,0
9YWG60PR9VYSE,false,Choya Umeshu Plum Wine Single Serve,,,781682114123,299,FIXED,true,,1,true,0,1544831058000,
22X46WYDCZN9P,false,Sam Adams Variety 24 Pack Bottles,,,,4299,FIXED,true,,2950,true,0,1544664004000,
550QHM8XBZR58,false,Sam Adams Variety 12 Pack Bottles,,,087692291039,2199,FIXED,true,,1475,true,0,1544663948000,
X7MC0YMSKSVNP,false,Lagunitas Hop Stoopid 6 Pack Bottles,,,723830100015,1199,FIXED,true,,838,true,0,1544663630000,
7PFCJGV1XMF9A,false,Lagunitas Hop Stoopid 24 Pack Bottles,,,723830801127,4599,FIXED,true,,3350,true,0,1544663629000,
H6C9743AQPZK0,false,Lagunitas Hop Stoopid 12 Pack Bottles,,,,2349,FIXED,true,,1672,true,0,1544663628000,
E1DTT1PN4F8F6,false,Black Box Riesling 3L,,,082100738359,2099,FIXED,true,,1400,true,0,1544659157000,
KRHGFZ8NCPTVY,false,Black Box Red Sangria 3L,,,081434710222,2099,FIXED,true,,1400,true,0,1544659106000,
CZKWQ936G488W,false,Black Box Shriaz 3L,,,081434000057,2099,FIXED,true,,1400,true,0,1544659052000,
B2Z0GYJFBY23T,false,Black Box Red Blend 3L,,,081434700193,2099,FIXED,true,,1400,true,0,1544659016000,
XRYR3M1NC3QBT,false,Black Box Malbec 3L,,,082100738465,2099,FIXED,true,,1400,true,0,1560992601000,
SJBYAD3TD6GT6,false,Ichiro's Malt Chichibu The US 2018 Edition 750mL,,,,69999,FIXED,true,,18432,true,0,1544470852000,
8VR9789WWYTK8,false,Lockhouse Sakura Gin 750mL,,,019962426711,4199,FIXED,true,,2642,true,0,1544411038000,
XWE4VHMY9E20G,false,Château Puygueraud Cotes De Bordeaux 750mL,,,015643509469,3199,FIXED,true,,1750,true,0,1544401690000,
AGQ03BEMK4CY0,false,Valpidio Ribera Del Duero 750mL,,,015643496776,1799,FIXED,true,,1025,true,0,1544401568000,0
55M9ZTT2ZP6JG,false,Protos '27 Ribera Del Duero 750mL,,,039383001632,3999,FIXED,true,,2167,true,0,1544401441000,0
58XDWYYGMDTEE,false,Angosto Tinto Valencia Red 750mL,,,015643421433,1499,FIXED,true,,817,true,0,1544396002000,0
2ERQFEPE7G7EM,false,Sabor Real Tinta de Toro 750mL,,,015643246289,1199,FIXED,true,,683,true,0,1544395070000,
X01R400S7K9B6,false,Sabor Real Reserva Tinta de Toro 750mL,,,015643246296,1499,FIXED,true,,817,true,0,1544394940000,0
JBQGB6JVCYFYP,false,La Tribu Spanish Red Blend  750mL,,,015643422232,1299,FIXED,true,,683,true,0,1544394114000,
N2MPA8VHMBFSP,false,Clos Dalian Terra Alta Garnacha Tinta 750mL,,,015643412783,1199,FIXED,true,,618,true,0,1544325803000,0
M0TKB9XJYCFG0,false,Cims Del Montsant Spanish Red Blend 750mL,,,015643259449,1699,FIXED,true,,892,true,0,1544394140000,0
K6JGWGB4GKAGM,false,Quinta Do Noval 10 Years Porto 750mL,,,895991002061,3999,FIXED,true,,2379,true,0,1554499450000,0
